# gradT_bin_center   <phi|gradT>   count
    2.5000000000E-01      1.8339649686E-01      2.1326444070E+09
    7.5000000000E-01      1.8727363418E-01      1.9070848750E+09
    1.2500000000E+00      2.0063090634E-01      1.2017712000E+09
    1.7500000000E+00      1.8820680520E-01      7.9898697600E+08
    2.2500000000E+00      1.6557695682E-01      5.6522901000E+08
    2.7500000000E+00      1.5538542320E-01      3.9801780800E+08
    3.2500000000E+00      1.4537790542E-01      2.8959443900E+08
    3.7500000000E+00      1.3652904566E-01      2.1866020400E+08
    4.2500000000E+00      1.2716190787E-01      1.6658706400E+08
    4.7500000000E+00      1.1709689604E-01      1.3224523900E+08
    5.2500000000E+00      1.0933206628E-01      1.0813658900E+08
    5.7500000000E+00      1.0260280947E-01      8.5961360000E+07
    6.2500000000E+00      9.7385944065E-02      6.8899080000E+07
    6.7500000000E+00      9.0817366772E-02      5.6030397000E+07
    7.2500000000E+00      8.3601132838E-02      4.5780435000E+07
    7.7500000000E+00      7.7485945108E-02      3.7837298000E+07
    8.2500000000E+00      7.0279340376E-02      3.1839139000E+07
    8.7500000000E+00      6.4704171712E-02      2.6981090000E+07
    9.2500000000E+00      6.1191489175E-02      2.2643384000E+07
    9.7500000000E+00      5.5673575731E-02      1.9130030000E+07
    1.0250000000E+01      4.6446620659E-02      1.6062978000E+07
    1.0750000000E+01      4.2859819574E-02      1.3054867000E+07
    1.1250000000E+01      3.9016548297E-02      1.0671436000E+07
    1.1750000000E+01      3.4363731315E-02      8.6339230000E+06
    1.2250000000E+01      3.1220456457E-02      6.8895480000E+06
    1.2750000000E+01      3.0188629954E-02      5.3462280000E+06
    1.3250000000E+01      3.1602093398E-02      3.9492620000E+06
    1.3750000000E+01      3.0790770944E-02      3.0504940000E+06
    1.4250000000E+01      2.9267812103E-02      2.3876190000E+06
    1.4750000000E+01      3.1191448877E-02      1.8962170000E+06
    1.5250000000E+01      3.4930179903E-02      1.5304610000E+06
    1.5750000000E+01      3.9917103436E-02      1.2106330000E+06
    1.6250000000E+01      4.6516962160E-02      9.8062100000E+05
    1.6750000000E+01      6.0014859046E-02      7.9458100000E+05
    1.7250000000E+01      6.9376248376E-02      6.2906600000E+05
    1.7750000000E+01      6.7955102546E-02      4.7674200000E+05
    1.8250000000E+01      6.2768978686E-02      3.6641900000E+05
    1.8750000000E+01      6.4667078812E-02      2.6742500000E+05
    1.9250000000E+01      5.3989469897E-02      1.9272100000E+05
    1.9750000000E+01      4.5015757885E-02      1.2879700000E+05
    2.0250000000E+01      2.9398564371E-02      9.4164000000E+04
    2.0750000000E+01      1.9634379823E-02      5.9896000000E+04
    2.1250000000E+01      2.2912780999E-02      3.3560000000E+04
    2.1750000000E+01      2.1109191813E-02      1.1742000000E+04
    2.2250000000E+01      2.2741021790E-02      8.4060000000E+03
    2.2750000000E+01      2.4292271226E-02      6.0160000000E+03
    2.3250000000E+01      1.9577300766E-02      4.0330000000E+03
    2.3750000000E+01      2.5705113910E-02      2.5930000000E+03
    2.4250000000E+01      1.7632962764E-02      1.2140000000E+03
    2.4750000000E+01      4.0631259351E-02      4.6200000000E+02
    2.5250000000E+01      8.7728308592E-02      1.3500000000E+02
    2.5750000000E+01      3.2927034161E-01      2.1000000000E+01
    2.6250000000E+01      0.0000000000E+00      0.0000000000E+00
    2.6750000000E+01      0.0000000000E+00      0.0000000000E+00
    2.7250000000E+01      0.0000000000E+00      0.0000000000E+00
    2.7750000000E+01      0.0000000000E+00      0.0000000000E+00
    2.8250000000E+01      0.0000000000E+00      0.0000000000E+00
    2.8750000000E+01      0.0000000000E+00      0.0000000000E+00
    2.9250000000E+01      0.0000000000E+00      0.0000000000E+00
    2.9750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.0250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.0750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.1250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.1750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.2250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.2750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.3250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.3750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.4250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.4750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.5250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.5750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.6250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.6750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.7250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.7750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.8250000000E+01      0.0000000000E+00      0.0000000000E+00
