# gradT_bin_center   <phi|gradT>   count
    2.5000000000E-01      1.8823544103E-01      5.4992226900E+08
    7.5000000000E-01      1.8000634482E-01      3.4819216200E+08
    1.2500000000E+00      1.7315011810E-01      1.9165366500E+08
    1.7500000000E+00      1.6778961429E-01      1.2291348500E+08
    2.2500000000E+00      1.6615800556E-01      8.6058739000E+07
    2.7500000000E+00      1.6304257919E-01      6.4334320000E+07
    3.2500000000E+00      1.5911303678E-01      5.0189144000E+07
    3.7500000000E+00      1.5330266619E-01      3.9989582000E+07
    4.2500000000E+00      1.4889209073E-01      3.2396197000E+07
    4.7500000000E+00      1.4678732132E-01      2.6558742000E+07
    5.2500000000E+00      1.4399489542E-01      2.1860076000E+07
    5.7500000000E+00      1.4059244134E-01      1.8071802000E+07
    6.2500000000E+00      1.3967462137E-01      1.5068157000E+07
    6.7500000000E+00      1.3754870857E-01      1.2655799000E+07
    7.2500000000E+00      1.3544129106E-01      1.0748055000E+07
    7.7500000000E+00      1.3490451008E-01      9.2246560000E+06
    8.2500000000E+00      1.3484980417E-01      7.9670680000E+06
    8.7500000000E+00      1.3274572418E-01      6.9730910000E+06
    9.2500000000E+00      1.3183575456E-01      6.1106400000E+06
    9.7500000000E+00      1.3061696931E-01      5.3492590000E+06
    1.0250000000E+01      1.3019184036E-01      4.7242190000E+06
    1.0750000000E+01      1.3094266518E-01      4.1948860000E+06
    1.1250000000E+01      1.3204944862E-01      3.7281190000E+06
    1.1750000000E+01      1.3191423164E-01      3.3599780000E+06
    1.2250000000E+01      1.3215088735E-01      3.0392380000E+06
    1.2750000000E+01      1.3270722679E-01      2.7483420000E+06
    1.3250000000E+01      1.3301456010E-01      2.4907810000E+06
    1.3750000000E+01      1.3356150859E-01      2.2840340000E+06
    1.4250000000E+01      1.3465613832E-01      2.0861360000E+06
    1.4750000000E+01      1.3428148636E-01      1.9072050000E+06
    1.5250000000E+01      1.3604595663E-01      1.7371260000E+06
    1.5750000000E+01      1.3675284380E-01      1.5927640000E+06
    1.6250000000E+01      1.3798145365E-01      1.4639440000E+06
    1.6750000000E+01      1.3922734670E-01      1.3520010000E+06
    1.7250000000E+01      1.3967106506E-01      1.2526360000E+06
